scenario,seed,strategy,detection_probability,false_alarm_probability,interception_ratio,average_intercept_delay,average_reward,coverage
mixed,10,Random,0.9142857142857143,0.07692307692307693,0.544891640866873,25.136363636363637,0.27,1.0
mixed,10,Adaptive,0.9259259259259259,0.043478260869565216,0.12693498452012383,6.512195121951219,0.48,1.0
mixed,10,Smart Adaptive,0.8974358974358975,0.06557377049180328,0.3591331269349845,20.78448275862069,0.31,1.0
mixed,11,Sequential,0.9047619047619048,0.06896551724137931,0.7085889570552147,19.844155844155843,0.34,1.0
mixed,11,Random,0.9210526315789473,0.04838709677419355,0.5337423312883436,16.275862068965516,0.32,0.95
mixed,11,Adaptive,0.98,0.08,0.31901840490797545,9.625,0.45,1.0
mixed,11,Smart Adaptive,0.9534883720930233,0.07017543859649122,0.4662576687116564,18.50657894736842,0.37,1.0
mixed,12,Sequential,0.926829268292683,0.05084745762711865,0.6782608695652174,19.756410256410255,0.35,1.0
mixed,12,Random,0.9444444444444444,0.078125,0.5391304347826087,19.193548387096776,0.29,1.0
mixed,12,Adaptive,0.9636363636363636,0.06666666666666667,0.17971014492753623,15.564516129032258,0.5,1.0
mixed,12,Smart Adaptive,0.9583333333333334,0.057692307692307696,0.27246376811594203,6.446808510638298,0.43,1.0
mixed,13,Sequential,0.95,0.05,0.6898550724637681,22.785714285714285,0.35,1.0
mixed,13,Random,0.975609756097561,0.11864406779661017,0.6231884057971014,22.311627906976746,0.33,1.0
mixed,13,Adaptive,0.9824561403508771,0.046511627906976744,0.21739130434782608,10.373333333333333,0.54,1.0
mixed,13,Smart Adaptive,0.9787234042553191,0.07547169811320754,0.3565217391304348,10.178861788617887,0.42,1.0
mixed,14,Sequential,0.9473684210526315,0.06451612903225806,0.6666666666666666,23.110091743119266,0.32,1.0
mixed,14,Random,0.95,0.08333333333333333,0.5871559633027523,19.583333333333332,0.33,0.95
mixed,14,Adaptive,1.0,0.07352941176470588,0.17737003058103976,23.32758620689655,0.27,1.0
mixed,14,Smart Adaptive,1.0,0.045454545454545456,0.3058103975535168,22.3,0.31,1.0
mixed,15,Sequential,0.925,0.05,0.6037151702786377,19.625641025641027,0.34,1.0
mixed,15,Random,0.9166666666666666,0.078125,0.5108359133126935,19.721212121212123,0.28,1.0
mixed,15,Adaptive,0.9318181818181818,0.03571428571428571,0.13003095975232198,10.880952380952381,0.39,1.0
mixed,15,Smart Adaptive,0.9090909090909091,0.07142857142857142,0.2724458204334365,20.397727272727273,0.36,1.0
mixed,16,Sequential,0.9459459459459459,0.047619047619047616,0.6525679758308157,22.041666666666668,0.32,1.0
mixed,16,Random,0.967741935483871,0.028985507246376812,0.5226586102719033,22.791907514450866,0.28,0.95
mixed,16,Adaptive,0.92,0.12,0.29607250755287007,11.683673469387756,0.4,1.0
mixed,16,Smart Adaptive,0.9574468085106383,0.07547169811320754,0.3867069486404834,11.109375,0.41,1.0
mixed,17,Sequential,0.8918918918918919,0.06349206349206349,0.6137724550898204,22.41951219512195,0.29,1.0
mixed,17,Random,0.9523809523809523,0.08620689655172414,0.6107784431137725,21.32843137254902,0.35,1.0
mixed,17,Adaptive,0.9565217391304348,0.07407407407407407,0.2844311377245509,12.68421052631579,0.4,1.0
mixed,17,Smart Adaptive,0.9523809523809523,0.06896551724137931,0.4550898203592814,22.82236842105263,0.36,1.0
mixed,18,Sequential,0.90625,0.04411764705882353,0.6246418338108882,28.880733944954127,0.26,1.0
mixed,18,Random,0.9393939393939394,0.05970149253731343,0.5587392550143266,21.333333333333332,0.27,0.95
mixed,18,Adaptive,0.9322033898305084,0.07317073170731707,0.3151862464183381,15.245454545454546,0.52,1.0
mixed,18,Smart Adaptive,0.9302325581395349,0.07017543859649122,0.40114613180515757,15.428571428571429,0.36,1.0
mixed,19,Sequential,0.95,0.08333333333333333,0.6856287425149701,19.54585152838428,0.33,1.0
mixed,19,Random,0.9210526315789473,0.06451612903225806,0.5449101796407185,19.967032967032967,0.31,1.0
mixed,19,Adaptive,0.9180327868852459,0.05128205128205128,0.32934131736526945,18.827272727272728,0.54,1.0
mixed,19,Smart Adaptive,0.9245283018867925,0.0851063829787234,0.39221556886227543,13.80916030534351,0.45,1.0
mixed,20,Sequential,0.9047619047619048,0.08620689655172414,0.5242424242424243,16.890173410404625,0.33,1.0
mixed,20,Random,0.926829268292683,0.06779661016949153,0.5545454545454546,19.284153005464482,0.34,1.0
mixed,20,Adaptive,0.9152542372881356,0.04878048780487805,0.29393939393939394,17.721649484536083,0.52,1.0
mixed,20,Smart Adaptive,0.9361702127659575,0.03773584905660377,0.42424242424242425,16.178571428571427,0.42,1.0
